title	ppns
	831594039
!Brabander!	48768596
'De Fluistervink'	269284508
'Flitsen'	269283862
's Gravenhaagsche courant	832916161
's Gravenhaegse courant	832924342;424119846
's Hertogenbossche courant	832924733
's Hertogenbossche vaderlandsche courant	850701007
't Kan verkeeren : geschrift voor allen, die in vrede en vrĳheid wenschen te leven	269711449
't Kristalletje : dagbladje ; redactie H & H ; het laatste nieuws het eerst	269718982
't Libertĳntje	270090916
't Sal waerachtig wel gaen : nieuwsblad uit de Gelderse vallei	319007650
't Spuigat	850938252
't Stekeltje	271568984
A.G.D.	268596484
AD	284883700
AD : Algemeen dagblad	284883700
Aambeeld : het katholiek weekorgaan	84346500X
Accu : B(etrouwbare) B(erichten) C(entrale)	851959695
Accu-vonken : uitgave van De accu artikelen van algemeen belang	851965725
Achtergrond : over principieele problemen	54623111
Actualiteiten	268462542
Ad interim : tĳdschrift voor letterkunde	840120907
Advertentieblad van het departement van de Wester- Eems	852882114
Advertentieblad, bekendmakingen en onderscheidene berigten van Groningen	852886098
Aether nieuws	268463425
Aetherflitsen	851995985
Aethernieuws	46286330
"Affiches, annonces et avis divers d'Amsterdam = Advertentiën, aankondigingen 
en verschillende berigten van Amsterdam"	850457890
"Affiches, annonces et avis divers de Leyde = Advertentiën, aankondigingen en 
berigten van Leyden"	843773197
"Affiches, annonces et avis divers de Rotterdam = Advertentien, aankondigingen 
en berigten van Rotterdam"	38191954
Afgeluisterd	268596352
"Agrarisch nieuwsblad : (waarin opgenomen het orgaan Landbouw en 
maatschappĳ)"	832774014
Akten betreffende cooperatieve vereenigingen	841135312
"Algemeen & industrieel volksblad voor Nederland : ter bevordering der 
nijverheidsbelangen"	85033403;850334039
Algemeen Handelsblad	832337900
Algemeen Indisch dagblad : de Preangerbode	843355972
Algemeen Nederlandsch landbouwblad	844260614
Algemeen Nederlandsch nieuws- en advertentie-blad	831579951
Algemeen dagblad	832308382
Algemeen dagblad van Nederland	820005061
Algemeen handelsblad voor Nederlandsch-Indië	44434987;44434987
"Algemeen industrieel volksblad voor Nederland : ter bevordering der 
nijverheidsbelangen"	850334039
Algemeen protestantsch dagblad	38181606
Algemeen volksblad voor Nederland	831579404
"Algemeene landhuishoudelijke courant
Algemeene nijverheids courant : weekblad voor landbouw, koophandel, 
zeevaart, fabrijkwezen, kunsten, volkshuishoudkunde, statistiek enz."	820005231
Algemene documentatie	319013960
Alkmaarsche courant	852201966
Alles sal reg kom	860474135
Alles sal reg kom!	268596875;268597243
Amigoe	863860281
Amigoe di Curacao : weekblad voor de Curacaosche eilanden	840847114
Amsterdam's geuzenblad	268597979
Amsterdamsch effectenblad	831594616
Amsterdamsche courant	850458803
Amsterdamse courant	832797472;424119803
Anoniem	268598266
Antenna	268598843
"Anti-leugenpillen : al is de leugen nog zo snel, de waarheid achterhaalt haar wel 
... "	268599092
Anti-sensatie	319013197
Apeldoornsche courant	268599327;268599327
Appèl : ik sla de trom en dreun de droomers wakker (J. Greshoff)	268599513
Arbeiders-eenheid : orgaan voor de kernen in de bedrĳven	268599726
Arnhemsche courant	82000541X;82000541X
Arnhemsche courante	864957750
Avec privilège de nos-seigneurs les Etats de Hollande et de West-Frise	37182145
Avondeditie	319013227
Avondpost : orgaan van de V.G.	268600082
B.B.C.	268797013
B.B.C.-bulletin	268797099
B.B.C.-nieuws	26879717X;268797269
B.B.C.-nieuws / uitgave van het bĳkantoor der British Broadcasting Corporation	266269532
B.C. nieuws	268797943
Bataafsche Leeuwarder courant	864624883
Bataafsche staats-courant	832797901
Bataviaasch advertentie-blad	14669662X
Bataviaasch handelsblad	44594976
Bataviaasch nieuwsblad	44595018
Bataviasche courant	843144181
Bataviasche koloniale courant	843144467
Bataviase nouvelles	44595034
Beknopt nieuwsoverzicht	26895593X
Belgisch dagblad	843183306
Bericht nr. ...	268956987
Berichte des Soldatensenders West	268957940
Berichten uit Denemarken : Aldrig mere krig	268958424
Berichten van 5 october 1944	268960208
Berichten van de GPD (Geallieerde Persdienst)	26895996X
Berichten voorziening oorlogstĳd	268961948;268962022
Berichtenblad	31901388X
Berichtenblad De Laatste Ronde	319013189
Berichtenblad Je maintiendrai	268960402
Berichtenblad voor de vakbeweging	268960623
Berichtendienst 1940	268961832
Berichtendienst B.B.C.	268960887
Berichtendienst De Postduif	268961905
Berichtendienst van de B.B.C.	268961794
Beta-nieuws	268962243
Beter te voorkomen, dan te genezen : raadgeving no. ...	319013111
"Beverwĳksche courant Kennemerland : dagblad voor de streek Kennemerland 
(Haarlem-Alkmaar)"	37305247
Bijblad van de landbouw-courant	831622784
Binnenlandsche Bataafsche courant	832368784
Bliksemflits	268962421
Bossche vaderlandsche courant	85228568X
Brabantsche studentenbrieven	269050361
Branding : orgaan voor Jong-Nederland	47422262
Bredasche courant	852175035;852175035;852175035
Brief uit de woestĳn	269050892
Brieven aan een jeugdvriend	269051570
Brieven aan sociaal-democraten	269051961
"Brieven ter bevordering van de internationale klasse- eenheid / uitgave van het 
Marx-Lenin-Luxemburg- Front"	269052690
Brieven van strĳd	269053158
British-news	269053379
Buitenlandsch overzicht van Het Parool	269053948;269054391
Bulletin	269055517;269055584;269055754;269055800;269056025
Bulletin no. 1	269057323
Bulletin van de Raad van Verzet in het Koninkrĳk der Nederlanden	269057668
CAJ Geesink's algemeen volksblad voor Nederland	850333903
Centraal blad voor Israelieten in Nederland	830606874
Cereales vadenses	269060421
Christelijk dagblad voor Nederland De Amsterdammer	227519094
Christelijk sociaal dagblad voor Nederland De Amsterdammer	424119994
Christofoor : berichtenblad	269071881
Christofoor : voor God en Vaderland	269072470;269072691
"Christofoor : voor God en Vaderland ; uitgave voor Amsterdam, Haarlem en 
omgeving"	269072349
Christofoor : voor God en vaderland	863297900
Circulaire van het Comité 'In Verdrukking Één'	269060693
Cocktail	269060995
Communiqué	269061320;269061371
Communiqué van de dag	269061401
